server_id,os_vendor,os_name,os_version,services,cpe_raw
1,ibm,aix,5.2.0.50,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2.0.50:*:*:*:*:*:*:*
2,ibm,aix,5.3.8,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.8:*:*:*:*:*:*:*
3,ibm,aix,5.3.7,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.7:*:*:*:*:*:*:*
4,ibm,aix,5.3.0.20,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.0.20:*:*:*:*:*:*:*
5,ibm,aix,5.3_l,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3_l:*:*:*:*:*:*:*
6,ibm,aix,5l,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5l:*:*:*:*:*:*:*
7,ibm,aix,6.1.3,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:6.1.3:*:*:*:*:*:*:*
8,ibm,aix,5.3.10,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3.10:*:*:*:*:*:*:*
9,ibm,aix,5.3,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.3:*:*:*:*:*:*:*
10,ibm,aix,5,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5:*:*:*:*:*:*:*
11,ibm,aix,6.1.0,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:6.1.0:*:*:*:*:*:*:*
12,ibm,aix,5.2,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2:*:*:*:*:*:*:*
13,ibm,aix,6.1.1,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:6.1.1:*:*:*:*:*:*:*
14,ibm,aix,5.2_l,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2_l:*:*:*:*:*:*:*
15,ibm,aix,5.2.0.54,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:5.2.0.54:*:*:*:*:*:*:*
16,ibm,aix,6.1,vios *; vios 1.5.2; vios 1.4; vios 1.5.1; vios 1.5.0,cpe:2.3:o:ibm:aix:6.1:*:*:*:*:*:*:*
